dimension,alpha,p,replicate_count,qmc_points_per_replicate,mean_reduction,reduction_95_half_width
2,1,4,8,32768,0.14868698601986363,0.00001715021154807643
3,2,4.5,8,32768,0.11977659440268923,0.000015840012563268748
5,3.5,6,8,32768,0.10022803279117307,0.000038570696006275425
