epsilon,delta_star,u0,analytic_tangent_slope,minimum_tangent_slack,minimum_slope_increment,tangent_dominance,convex_tail
0.25,0.73667,0.1758530328653588,-1.4974416001259545,0,0,true,true
0.5,0.70697,0.17435351771114274,-1.6806680948879547,-3.9444858557224904e-7,0,true,true
1,0.649185,0.16878926941872574,-2.078419293355624,0,0,true,true
2,0.549133,0.1514991228268617,-2.9760351292862377,0,0,true,true
4,0.416972,0.11564327912801145,-5.041609426650677,-2.461805277409468e-7,-3e-323,true,true
8,0.29217,0.07259321767686538,-9.750641183120514,-4.178951782396467e-7,-7.707e-321,true,true
16,0.197615,0.03955363315735349,-20.28597749697904,0,-1.0522549e-316,true,true
