compositions,sequential_beta,fft_beta,sequential_mse,fft_mse,mse_reduction,sequential_achieved_delta,fft_achieved_delta
2,0.5765470760236583,0.6960207994166866,330.9200926697388,227.06398171496653,0.31384045047521963,0.000009999969280505571,0.000009999996612546944
4,0.289267323939483,0.45536554371183796,1314.6009125069222,530.484078527395,0.5964675868695614,0.00000999993253397971,0.000010000000087385698
8,0.14489804471910453,0.31031228494573854,5239.232060783871,1142.3383231948064,0.7819645493954519,0.00000999992622982618,0.000010000000000821001
16,0.07246933906158379,0.21557422157886724,20945.179385225445,2367.00421892476,0.8869905014709768,0.000009999937689518306,0.000010000008822150307
32,0.03623094972462824,0.15112145403835833,83797.92183889647,4816.59841063384,0.942521266578736,0.000009999947914714411,0.000009999993724225984
